eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
77.33,-2.64,82.7,-2.59,830,0.00026151817,0.0,2.7077963,-0.00057997665,0.29366666,-0.005220770835876465,1,256,19.73874495200107,16384
85.83,-2.14,82.03,-1.97,1028,0.0008277995,0.0013224283,2.705499,-0.0008898457,0.14349023,-0.0011534690856933594,2,512,35.73766287400031,32768
87.88,-2.74,83.43,-1.55,1030,0.0006281591,0.0,2.6976306,-0.0003665407,0.16831572,0.017422914505004883,3,768,51.63751526700071,49152
86.19,-2.3,87.86,-2.53,1063,0.0015582539,0.0053100586,2.6876652,-0.0007463752,0.1725717,0.06056338548660278,4,1024,67.04085442900032,65536
82.51,-2.85,85.43,-1.96,1067,0.0017551334,0.0056559243,2.6768105,-0.0012417884,0.17203982,0.13043010234832764,5,1280,82.38393293400077,81920
86.78,-1.85,88.89,-2.24,1040,0.0022665511,0.018127441,2.678671,-0.0020945095,0.13337497,0.2108217477798462,6,1536,98.13131312500082,98304
80.18,-2.4,82.85,-2.37,1019,0.0023275719,0.014221191,2.6679394,-0.0019798644,0.13470383,0.261804461479187,7,1792,114.1976333370003,114688
83.37,-2.15,80.14,-2.66,967,0.0021810455,0.011739095,2.6606867,-0.0021272833,0.14857928,0.1789034605026245,8,2048,131.13059859399982,131072
80.38,-2.11,80.8,-2.21,1018,0.002140823,0.007873535,2.6452253,-0.0009697911,0.13150801,0.3741520047187805,9,2304,147.21671662500012,147456
78.91,-1.32,83.22,-2.51,977,0.0027717538,0.015523274,2.630521,-0.0017744795,0.11754561,0.3132825493812561,10,2560,163.97780349800087,163840
78.63,-1.99,73.76,-1.93,990,0.0029134955,0.02138265,2.6010406,-0.0035955224,0.13252713,0.380779504776001,11,2816,180.52141334500084,180224
80.01,-1.63,78.47,-1.64,992,0.004342584,0.034749348,2.616922,-0.0046565463,0.1062608,0.45865416526794434,12,3072,197.037922032001,196608
77.47,-1.52,82.41,-1.71,976,0.0030647086,0.01961263,2.6328537,-0.0038564291,0.1029703,0.4489154815673828,13,3328,213.82147674800035,212992
78.41,-1.29,78.7,-1.94,990,0.0041412045,0.035298664,2.628949,-0.0042944415,0.09882722,0.4498172402381897,14,3584,230.35765519500092,229376
74.58,-1.47,78.83,-1.66,956,0.0052054976,0.049479168,2.621382,-0.00461412,0.10834194,0.4905281066894531,15,3840,247.4851367650008,245760
