eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
80.2,-2.63,85.74,-2.08,541,0.0003662683,0.0,2.707693,-0.00071991695,0.46876875,0.033817946910858154,1,256,30.275782627000012,16384
87.1,-2.61,87.69,-2.99,752,0.0010188058,0.0015055338,2.704912,-0.00097592967,0.16535707,0.03233516216278076,2,512,52.17219855899998,32768
83.51,-2.61,86.75,-2.2,749,0.0025137432,0.012878418,2.691734,-0.0015329025,0.15966295,0.06103253364562988,3,768,74.03511947599998,49152
81.43,-1.87,83.12,-2.18,753,0.0034810128,0.020975748,2.679519,-0.0022709705,0.10885951,0.07770228385925293,4,1024,95.77430915499997,65536
82.37,-2.0,87.15,-2.31,750,0.0017572115,0.0040893555,2.6735964,-0.0011430472,0.1226423,0.1823686957359314,5,1280,117.59883914800002,81920
80.23,-2.27,83.04,-2.5,750,0.0033401672,0.01180013,2.6603675,-0.0016465293,0.109669864,0.29216355085372925,6,1536,139.437893185,98304
80.9,-1.96,78.73,-1.28,736,0.0039163856,0.020731607,2.641865,-0.0025790217,0.11224967,0.38259977102279663,7,1792,161.69033611400005,114688
83.84,-1.56,81.07,-1.88,763,0.0031358602,0.022969564,2.6304119,-0.0031527756,0.09894667,0.4426896572113037,8,2048,183.13762794399997,131072
76.16,-1.91,74.57,-2.38,760,0.0034658238,0.019551596,2.6201515,-0.0027857674,0.1028544,0.4494250416755676,9,2304,204.69245999099996,147456
83.3,-1.57,78.1,-2.57,734,0.0040550693,0.032104492,2.61283,-0.0046963324,0.08899099,0.4450644850730896,10,2560,227.014301199,163840
80.79,-1.65,78.17,-1.72,734,0.0038293547,0.028767904,2.6043491,-0.004618051,0.09449837,0.5202804207801819,11,2816,249.326339223,180224
82.91,-1.51,78.37,-1.5,763,0.0046538366,0.03989665,2.5930402,-0.0062074983,0.08308375,0.49870431423187256,12,3072,270.77660140700004,196608
80.52,-1.32,77.43,-1.42,752,0.0048090466,0.040079754,2.5889952,-0.004671737,0.09136956,0.5979031920433044,13,3328,292.56129148,212992
72.44,-1.12,79.34,-1.49,749,0.005780822,0.06644694,2.5668805,-0.006881434,0.07202606,0.599715530872345,14,3584,314.42621219600005,229376
73.37,-1.28,73.48,-1.52,717,0.0057159686,0.06793213,2.5508516,-0.008373077,0.07559262,0.6170185208320618,15,3840,337.271538354,245760
72.44,-1.02,78.14,-1.13,762,0.0055465107,0.0579834,2.5392663,-0.0091869645,0.07998016,0.6139609813690186,16,4096,358.76850502599996,262144
75.7,-0.93,74.51,-0.94,746,0.0046162214,0.045776367,2.5489023,-0.010968119,0.06011102,0.5737221837043762,17,4352,380.727721849,278528
77.02,-0.44,75.2,-0.97,739,0.0058900304,0.07145182,2.5241675,-0.011140529,0.062769055,0.5287952423095703,18,4608,402.885028937,294912
78.57,-0.36,76.8,-1.11,729,0.0068421084,0.08282471,2.5233212,-0.009864797,0.05525999,0.5877673327922821,19,4864,425.335147583,311296
73.74,-0.26,77.8,-0.82,753,0.0069416673,0.08931478,2.5343869,-0.012616468,0.05047826,0.5327277183532715,20,5120,447.0728687479999,327680
80.87,-0.19,78.98,-0.63,746,0.008023424,0.10673014,2.5357738,-0.014362112,0.06490765,0.45110398530960083,21,5376,469.0085830669999,344064
83.5,-0.55,76.08,-1.04,749,0.008506515,0.11014811,2.524712,-0.012782139,0.07419408,0.42686283588409424,22,5632,490.86766992800005,360448
78.81,-0.21,81.59,-0.13,726,0.007820369,0.09611002,2.5242105,-0.012670047,0.05217406,0.48996061086654663,23,5888,513.4326701880001,376832
80.14,0.25,82.42,-0.41,770,0.0076491716,0.09731039,2.5391083,-0.01288554,0.051644836,0.46149659156799316,24,6144,534.7064231840001,393216
84.83,-0.22,80.95,-0.44,746,0.007468458,0.09403483,2.506879,-0.014725563,0.05904397,0.4107283353805542,25,6400,556.663752582,409600
81.92,0.54,85.75,0.24,761,0.008883472,0.11427816,2.4589093,-0.015435349,0.04043202,0.4246063232421875,26,6656,578.1837446579999,425984
85.8,0.18,84.28,-0.25,746,0.009812266,0.12611897,2.442601,-0.012044691,0.054811526,0.43722301721572876,27,6912,600.1324520249999,442368
85.99,0.21,83.26,0.1,753,0.009308516,0.12398275,2.4520445,-0.015990531,0.045289528,0.3772871494293213,28,7168,621.887322532,458752
83.72,0.35,89.38,-0.23,737,0.009103351,0.121805824,2.4392555,-0.01540663,0.07048137,0.44203054904937744,29,7424,644.109169557,475136
85.08,0.64,85.29,0.15,743,0.010522712,0.14196777,2.4246116,-0.014733988,0.04169191,0.5085901319980621,30,7680,666.1409173430001,491520
84.18,0.38,80.05,0.28,755,0.009792715,0.12674968,2.4366527,-0.016652685,0.04801855,0.5419844090938568,31,7936,687.823014751,507904
82.09,0.55,86.21,0.69,761,0.010180519,0.13932292,2.4299598,-0.017660474,0.057742823,0.47465336322784424,32,8192,709.3431027170001,524288
87.1,0.67,87.37,0.27,724,0.013085141,0.17319743,2.420047,-0.016173443,0.056041628,0.4768047332763672,33,8448,731.9539494260001,540672
86.82,0.79,90.07,0.52,750,0.01219863,0.16300456,2.3754652,-0.017349614,0.06072856,0.5390183329582214,34,8704,753.7875899239999,557056
89.74,0.9,89.51,0.52,751,0.011289037,0.15716553,2.4049888,-0.01737478,0.058241587,0.5430915951728821,35,8960,775.584802041,573440
78.53,0.75,82.0,0.65,753,0.011635472,0.16499837,2.4405663,-0.016752789,0.056010853,0.5454914271831512,36,9216,797.3338384069999,589824
90.54,1.1,86.24,0.81,743,0.010318383,0.13671875,2.430864,-0.017070858,0.06748744,0.5387103855609894,37,9472,819.3679163170001,606208
96.16,1.5,92.3,1.39,742,0.0109191695,0.14259847,2.4072971,-0.020139635,0.077234454,0.5570364892482758,38,9728,841.4223426039999,622592
90.97,1.54,87.48,1.33,752,0.009427729,0.12194824,2.397167,-0.016376883,0.06852447,0.5877876877784729,39,9984,863.185302793,638976
92.56,1.75,94.75,1.67,763,0.01164329,0.1552531,2.400448,-0.018016757,0.0608761,0.5896551012992859,40,10240,884.6423914850001,655360
91.13,1.52,91.12,1.52,731,0.013093714,0.16916911,2.4002318,-0.016513593,0.06398534,0.6068105399608612,41,10496,907.0356613519999,671744
97.85,2.01,92.63,1.41,740,0.012409286,0.16477458,2.3682587,-0.0199671,0.054945234,0.6652507185935974,42,10752,929.155221271,688128
98.95,1.94,98.4,1.3,745,0.010955523,0.1439616,2.3614483,-0.017892526,0.06582598,0.6523677110671997,43,11008,951.1378933960001,704512
113.18,2.13,99.59,2.18,770,0.012898964,0.16951497,2.3544304,-0.015319556,0.061425284,0.6449659764766693,44,11264,972.413434772,720896
105.02,2.54,105.31,1.97,735,0.0112018315,0.14123535,2.2994292,-0.01253128,0.09463257,0.6744140386581421,45,11520,994.705214407,737280
124.86,2.52,123.36,3.07,744,0.009770362,0.12670898,2.2572224,-0.016677795,0.09446814,0.6221732199192047,46,11776,1016.7000091000001,753664
107.85,1.89,105.65,2.3,760,0.013522317,0.16373698,2.2853644,-0.015969941,0.08765784,0.6275443732738495,47,12032,1038.2537497429998,770048
97.09,1.92,106.87,2.11,748,0.015307728,0.19590251,2.292432,-0.022303963,0.05903043,0.7053843438625336,48,12288,1060.1459149930001,786432
109.13,2.5,92.18,1.85,741,0.015963947,0.20694987,2.287502,-0.018311154,0.06751293,0.6331564486026764,49,12544,1082.2364236849999,802816
105.41,3.06,114.45,1.88,744,0.013272022,0.1786906,2.2304285,-0.014594253,0.10784491,0.6081841289997101,50,12800,1104.252594442,819200
124.39,3.15,122.4,2.35,765,0.013255904,0.16652425,2.2467396,-0.017522976,0.09453436,0.6237035989761353,51,13056,1125.652741422,835584
132.94,3.16,122.18,2.67,748,0.014373849,0.19112141,2.2818866,-0.012968455,0.1044937,0.6507383286952972,52,13312,1147.529137218,851968
110.76,2.18,120.23,2.99,730,0.013913904,0.18098958,2.281043,-0.022593534,0.07386813,0.6800784468650818,53,13568,1169.9514503750001,868352
136.69,2.88,131.34,3.24,772,0.012132634,0.1605835,2.2841263,-0.017289894,0.12485647,0.628361701965332,54,13824,1191.1483546109998,884736
141.8,3.97,125.46,2.66,761,0.011848088,0.14971924,2.2948554,-0.015010305,0.10397846,0.642797201871872,55,14080,1212.6705840099999,901120
150.11,3.84,151.46,3.95,746,0.012423641,0.16225179,2.2752526,-0.017838838,0.14933418,0.5923946797847748,56,14336,1234.615661192,917504
162.33,4.02,150.78,4.29,743,0.010787897,0.13344319,2.2779005,-0.011642224,0.15663026,0.6175866425037384,57,14592,1256.6583434529998,933888
160.41,5.03,157.78,4.1,765,0.013093039,0.16585286,2.2962105,-0.011876254,0.18302953,0.5910617709159851,58,14848,1278.067740772,950272
