eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
84.25,-1.78,80.1,-2.58,496,9.88794e-05,0.0,2.7079356,-0.00014142036,0.3463234,0.0012257695198059082,1,256,33.03017605900004,16384
84.72,-2.04,78.19,-2.52,577,0.00011727586,0.0,2.707427,-0.00025004093,0.15356445,0.018359720706939697,2,512,61.48079703900021,32768
81.26,-2.48,85.35,-2.19,592,0.00039190627,0.0,2.705825,-0.0005084509,0.17842473,0.02990478277206421,3,768,89.14859064499979,49152
86.47,-2.33,86.02,-2.45,566,0.0019449885,0.0033772786,2.6973925,-0.00087035197,0.12338684,0.07826775312423706,4,1024,118.07888052199996,65536
86.66,-2.11,83.42,-2.15,592,0.0020682004,0.0076904297,2.6956844,-0.0015020132,0.17021495,0.08945983648300171,5,1280,145.7188166830001,81920
84.62,-2.46,83.39,-2.76,571,0.002107373,0.0069986978,2.686454,-0.0017018003,0.15819828,0.15922343730926514,6,1536,174.3728934159999,98304
83.28,-1.68,75.62,-2.65,587,0.0021650752,0.012125651,2.6865876,-0.002313024,0.13200486,0.2631518840789795,7,1792,202.28400364699974,114688
83.15,-2.13,80.54,-1.82,569,0.0022748187,0.015075684,2.6967618,-0.0023819038,0.1215254,0.24104756116867065,8,2048,231.06774694199976,131072
82.59,-1.84,84.9,-3.28,594,0.0023808223,0.013041179,2.6908255,-0.0024422125,0.12684567,0.2282366156578064,9,2304,258.6307493149998,147456
78.22,-3.01,90.39,-2.73,564,0.002296851,0.017659506,2.691534,-0.002949395,0.15255995,0.2455318570137024,10,2560,287.6686202000001,163840
89.49,-1.67,82.85,-1.4,590,0.002581816,0.021647135,2.6847541,-0.0032977096,0.104777105,0.27497678995132446,11,2816,315.3938661430002,180224
84.79,-2.27,84.05,-2.71,572,0.0029742343,0.02351888,2.6805303,-0.004373276,0.12056977,0.28126031160354614,12,3072,344.0315736849998,196608
85.25,-1.81,77.5,-2.08,586,0.004138697,0.033610027,2.6814318,-0.0049861795,0.104270935,0.2908781170845032,13,3328,371.96825707300013,212992
73.99,-1.02,79.57,-2.47,569,0.0034429214,0.02327474,2.6698797,-0.004951981,0.10045501,0.2895302176475525,14,3584,400.7345032860003,229376
78.46,-1.4,75.06,-1.91,591,0.004070031,0.035563152,2.6560676,-0.007487574,0.09008742,0.3660789132118225,15,3840,428.4579382560005,245760
82.87,-1.3,82.7,-2.07,566,0.0041124616,0.04353841,2.6454313,-0.0061423923,0.0988464,0.41844749450683594,16,4096,457.3820446010004,262144
78.77,-1.28,76.68,-2.06,591,0.0062391274,0.07519531,2.6281855,-0.008087366,0.09421865,0.3435322642326355,17,4352,485.07954421199975,278528
79.49,-1.01,77.76,-1.99,576,0.0051674917,0.056132,2.6158345,-0.008957532,0.098833345,0.376018762588501,18,4608,513.5181287810001,294912
80.96,-1.11,74.14,-2.02,588,0.0051132697,0.05851237,2.613187,-0.008424235,0.08132023,0.38048499822616577,19,4864,541.3811770009997,311296
78.88,-1.29,76.13,-1.79,573,0.005458953,0.06028239,2.6193922,-0.010373312,0.086058475,0.3320484757423401,20,5120,569.9422600650005,327680
85.13,-1.16,78.53,-1.32,593,0.005741071,0.066223145,2.6155865,-0.009857731,0.09555113,0.29498302936553955,21,5376,597.5414395959997,344064
77.27,-1.05,75.06,-1.88,572,0.006347054,0.079182945,2.6010463,-0.012077977,0.080701075,0.3846225142478943,22,5632,626.166761167,360448
