eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
88.75,-2.79,82.97,-2.53,1048,0.0002805239,0.0,2.707796,-0.00029320014,0.32910463,-0.011677384376525879,1,256,15.62719299499986,16384
82.83,-2.39,79.36,-1.67,1430,0.00015213701,0.0,2.7072995,-0.00028163244,0.17212866,0.017591536045074463,2,512,27.154768188000162,32768
82.39,-2.21,77.34,-1.91,1414,0.00012991339,0.0,2.7072542,-0.00016370817,0.16967459,0.018738746643066406,3,768,38.738578139999845,49152
90.26,-2.41,79.48,-2.49,1428,0.0012580975,0.00777181,2.703571,-0.0013202141,0.13909192,0.04062885046005249,4,1024,50.21243426199999,65536
81.31,-2.76,78.05,-1.8,1392,0.0028951792,0.0076497397,2.6916687,-0.0016173847,0.17680842,0.04295384883880615,5,1280,61.97838356699958,81920
89.38,-1.84,76.39,-2.57,1390,0.002857928,0.0063476562,2.6790278,-0.0016425919,0.11288958,0.09856545925140381,6,1536,73.76702901599947,98304
84.12,-2.3,84.14,-2.55,1406,0.00185571,0.009053548,2.6771095,-0.001606678,0.13511606,0.1885860562324524,7,1792,85.41571606199977,114688
85.32,-2.25,81.75,-2.59,1379,0.0020372013,0.01381429,2.6852627,-0.002367112,0.14199294,0.21591812372207642,8,2048,97.29604107900013,131072
90.19,-2.7,85.12,-2.7,1403,0.0033227776,0.0174764,2.675867,-0.0033231098,0.14319424,0.23914122581481934,9,2304,108.97442240700002,147456
85.61,-2.32,79.88,-2.03,1413,0.0029274814,0.023742676,2.6763074,-0.0045786644,0.12775499,0.3605800271034241,10,2560,120.56607476499994,163840
87.17,-1.93,82.41,-2.59,1372,0.0032225791,0.027323404,2.6716988,-0.0056502647,0.11056771,0.37076234817504883,11,2816,132.50348730099995,180224
81.87,-1.73,84.22,-1.28,1372,0.0038428146,0.030863443,2.6621625,-0.0058192573,0.10600057,0.38785988092422485,12,3072,144.4449013229996,196608
80.99,-1.44,78.67,-1.51,1357,0.0045964955,0.04827881,2.6474283,-0.0070550423,0.10893831,0.37258172035217285,13,3328,156.51523382100004,212992
77.95,-1.49,82.69,-2.46,1378,0.004630096,0.04429118,2.6471002,-0.0068110977,0.10104287,0.3967173099517822,14,3584,168.40083386100014,229376
80.89,-1.09,84.58,-1.94,1400,0.004253736,0.042541504,2.648874,-0.008318926,0.09746926,0.3648543357849121,15,3840,180.09778404000008,245760
81.9,-1.32,78.29,-1.34,1380,0.005750794,0.064941406,2.64767,-0.009953536,0.07831564,0.4696423411369324,16,4096,191.96485743999983,262144
81.88,-1.12,88.31,-1.09,1396,0.005184627,0.057250977,2.6453235,-0.009946798,0.083293945,0.409088134765625,17,4352,203.6952899480002,278528
81.79,-1.33,79.86,-1.1,1375,0.004635225,0.0505778,2.6324098,-0.010139932,0.0988119,0.4039633870124817,18,4608,215.61134436500015,294912
79.78,-1.1,81.83,-0.58,1348,0.005370626,0.05682373,2.6197267,-0.011024386,0.07853458,0.382241427898407,19,4864,227.75962768999943,311296
81.46,-0.57,77.55,-0.41,1393,0.005601361,0.0670166,2.618961,-0.012239501,0.077701814,0.4354926347732544,20,5120,239.51941613799954,327680
80.95,-1.11,82.99,-0.42,1383,0.0052659605,0.058776855,2.62495,-0.012121526,0.07974974,0.3815709948539734,21,5376,251.36004476000016,344064
82.26,-0.93,77.05,-0.34,1382,0.0077447738,0.1015625,2.596293,-0.0152845485,0.087049015,0.3618873953819275,22,5632,263.21665407899945,360448
81.19,-1.03,75.74,-0.42,1398,0.0072997925,0.09440104,2.59087,-0.012341432,0.077181,0.3624439835548401,23,5888,274.9375625370003,376832
81.13,0.02,77.45,0.06,1369,0.00853021,0.11012777,2.5791252,-0.012713191,0.06403396,0.4141600728034973,24,6144,286.90123676999974,393216
79.56,-0.52,83.16,-0.31,1397,0.008608542,0.11553955,2.5495138,-0.013854668,0.06402021,0.46182507276535034,25,6400,298.62541169699944,409600
77.94,-0.41,81.02,-0.53,1370,0.009346695,0.12615967,2.5528245,-0.01602808,0.055242345,0.40900474786758423,26,6656,310.5844310279999,425984
78.39,-0.08,83.99,-0.2,1376,0.008650266,0.11694336,2.556114,-0.01788243,0.056238268,0.3321910500526428,27,6912,322.4851620899999,442368
79.39,-0.17,79.07,0.1,1382,0.009118704,0.12322998,2.5515757,-0.016233772,0.058495965,0.3175511360168457,28,7168,334.33852897999986,458752
83.5,-0.19,79.63,-0.27,1369,0.0099503035,0.12827556,2.555871,-0.011295925,0.06361028,0.2537428140640259,29,7424,346.30083401999946,475136
80.74,0.06,77.52,-0.11,1376,0.009302646,0.12715657,2.5436952,-0.015121669,0.05598862,0.20652294158935547,30,7680,358.2077158279999,491520
83.77,-0.11,80.46,-0.25,1370,0.008536746,0.11201986,2.549734,-0.01823651,0.05962828,0.22048425674438477,31,7936,370.1647011269997,507904
81.01,0.16,79.67,0.1,1384,0.009744885,0.12571208,2.540538,-0.017056886,0.058736462,0.22832167148590088,32,8192,381.9959563330003,524288
80.97,-0.37,85.17,0.03,1415,0.010471749,0.1416219,2.516865,-0.016479036,0.059195463,0.2602396607398987,33,8448,393.5762001459998,540672
82.39,-0.31,86.24,0.43,1372,0.011677274,0.15464275,2.4857905,-0.017820518,0.0706654,0.3075419068336487,34,8704,405.5121967969999,557056
79.49,0.32,82.8,0.21,1410,0.011592113,0.15948486,2.4833841,-0.019955227,0.05270053,0.2774195671081543,35,8960,417.128492627,573440
79.28,0.37,80.78,0.41,1396,0.01047454,0.1414388,2.4856327,-0.017211068,0.044742957,0.21849775314331055,36,9216,428.8620571809997,589824
85.61,0.27,81.33,0.25,1364,0.011617965,0.15415446,2.4701107,-0.018731236,0.06545771,0.4008636474609375,37,9472,440.86746674499955,606208
82.97,0.37,79.72,0.48,1390,0.01117038,0.15057373,2.4803169,-0.019893197,0.050774664,0.33368468284606934,38,9728,452.6522684319998,622592
80.29,0.53,82.69,0.53,1399,0.0119024115,0.15924072,2.4433372,-0.01705748,0.052039146,0.3367176651954651,39,9984,464.3632132040002,638976
84.62,0.45,82.46,0.68,1381,0.013652411,0.19032796,2.4126732,-0.01961324,0.054194555,0.30733364820480347,40,10240,476.227862617,655360
82.05,0.4,79.57,0.47,1393,0.014531553,0.18109131,2.4205966,-0.016334815,0.06381158,0.3833673596382141,41,10496,487.9831855419998,671744
84.3,0.56,82.66,0.25,1384,0.013346742,0.1819865,2.3992765,-0.020505942,0.068343095,0.2909995913505554,42,10752,499.81550132899974,688128
81.26,0.35,83.03,0.2,1377,0.0136736585,0.1862386,2.4062397,-0.01855912,0.06375213,0.23346924781799316,43,11008,511.7084760759999,704512
79.12,0.08,87.44,0.71,1391,0.014436302,0.19069417,2.418369,-0.01824814,0.058064986,0.3522036671638489,44,11264,523.4820670749996,720896
80.01,0.38,83.46,0.87,1364,0.012956294,0.17777507,2.4172373,-0.020705638,0.06795893,0.3158687353134155,45,11520,535.4934341039998,737280
81.4,0.85,85.25,0.5,1391,0.013756759,0.17867024,2.4268456,-0.020490628,0.0556315,0.31840837001800537,46,11776,547.2734483849999,753664
82.6,0.59,82.26,0.65,1366,0.0121286595,0.15974934,2.4402268,-0.022088135,0.05482367,0.2949635982513428,47,12032,559.2607821339998,770048
80.54,0.26,87.69,0.58,1364,0.01322655,0.17777507,2.4342892,-0.020256147,0.06271579,0.2658848166465759,48,12288,571.2739416289996,786432
83.6,0.6,85.2,1.13,1398,0.014860894,0.19834392,2.4009783,-0.020114211,0.06843341,0.27943533658981323,49,12544,582.9884875170001,802816
87.54,0.6,90.57,0.66,1373,0.014375087,0.18806966,2.428803,-0.022023568,0.059401464,0.2883487939834595,50,12800,594.9190987729999,819200
85.1,0.76,91.7,1.03,1377,0.013252935,0.17667644,2.4485433,-0.023428723,0.055895805,0.31851351261138916,51,13056,606.8156775549996,835584
92.31,1.14,84.88,0.9,1397,0.012671513,0.17136638,2.4050038,-0.02167692,0.066150345,0.29594725370407104,52,13312,618.5406098080002,851968
88.79,1.12,84.76,0.82,1409,0.012871549,0.17315674,2.4038289,-0.022654364,0.047639806,0.3603459596633911,53,13568,630.1632395480001,868352
86.82,1.09,85.41,1.12,1384,0.013875806,0.18613689,2.39183,-0.023096522,0.054148685,0.3805004358291626,54,13824,641.9963712629997,884736
90.1,1.15,93.95,1.08,1373,0.013623313,0.18595378,2.3779924,-0.022969471,0.061029777,0.3841697573661804,55,14080,653.9272408269999,901120
89.38,1.04,87.0,1.24,1391,0.014041059,0.18780518,2.339221,-0.025048167,0.052478444,0.4860990643501282,56,14336,665.7017359390002,917504
87.09,0.96,88.0,1.02,1339,0.017390508,0.21150716,2.3443396,-0.022169476,0.062298816,0.43234914541244507,57,14592,677.9336253290003,933888
86.79,0.74,93.86,1.07,1337,0.014304823,0.18631999,2.3429282,-0.02330874,0.08005563,0.3843858242034912,58,14848,690.1888760960001,950272
89.39,0.87,87.87,1.19,1330,0.013698161,0.18259685,2.3309119,-0.023134528,0.06832667,0.45809102058410645,59,15104,702.5040629229998,966656
86.32,0.88,86.06,1.4,1348,0.015449301,0.2006836,2.325078,-0.023221202,0.0611914,0.4807080030441284,60,15360,714.6545236659995,983040
88.83,1.39,87.15,0.82,1379,0.014533614,0.18835449,2.336036,-0.023873338,0.06913174,0.4614797830581665,61,15616,726.5364930079995,999424
84.64,0.98,97.02,1.35,1344,0.015211913,0.20241292,2.3099058,-0.022854129,0.07054082,0.46837788820266724,62,15872,738.723412712,1015808
91.48,1.31,89.08,1.16,1351,0.015753321,0.1998698,2.2974005,-0.024397662,0.069924794,0.48257118463516235,63,16128,750.8870645030001,1032192
95.77,1.4,93.66,1.34,1370,0.013591978,0.1819865,2.321851,-0.024303673,0.05835149,0.5508943498134613,64,16384,762.8394574659997,1048576
93.56,1.29,92.45,0.98,1387,0.014818069,0.19828288,2.2982395,-0.022684826,0.07467314,0.5855908691883087,65,16640,774.6525342200002,1064960
93.62,1.46,104.83,1.47,1399,0.014647952,0.19425456,2.3005297,-0.023232149,0.09200409,0.47339606285095215,66,16896,786.361493073,1081344
94.92,2.05,92.29,1.37,1366,0.016598128,0.21433513,2.288667,-0.022908598,0.058940675,0.6091978847980499,67,17152,798.349378158,1097728
100.65,1.64,105.15,1.46,1391,0.016842987,0.22485352,2.288603,-0.0170843,0.10081542,0.5459147989749908,68,17408,810.126965122,1114112
104.13,1.52,110.56,1.3,1376,0.015305574,0.19966634,2.2514143,-0.024962349,0.062152255,0.6289352774620056,69,17664,822.0352891530001,1130496
106.25,1.53,110.33,1.73,1370,0.016241455,0.20743816,2.2319148,-0.024363577,0.07770434,0.6254029870033264,70,17920,833.9905172620001,1146880
113.61,1.93,100.6,1.75,1347,0.016184108,0.21268718,2.2472398,-0.02101977,0.09912809,0.5504534840583801,71,18176,846.1505152489999,1163264
122.25,1.75,93.13,1.63,1345,0.015579824,0.20098877,2.2573092,-0.023904016,0.08435371,0.5733286142349243,72,18432,858.3275599239996,1179648
122.22,1.93,111.54,1.37,1360,0.015470587,0.20220947,2.2337518,-0.017961605,0.10678323,0.5960635840892792,73,18688,870.3744584779997,1196032
105.16,1.59,96.35,1.45,1376,0.014968936,0.19807942,2.272907,-0.027954025,0.094687104,0.6207627058029175,74,18944,882.2830920179995,1212416
97.38,1.36,126.66,2.63,1366,0.017547214,0.2269694,2.2498052,-0.022483652,0.08128881,0.6415856182575226,75,19200,894.2744982089998,1228800
122.68,2.46,122.57,2.23,1380,0.016948173,0.22483318,2.236508,-0.017925056,0.1122502,0.5398055911064148,76,19456,906.1411258070002,1245184
136.37,3.01,120.78,2.37,1357,0.015729679,0.20155843,2.239295,-0.01181901,0.14684767,0.5400746166706085,77,19712,918.2079510759995,1261568
140.01,2.92,113.15,2.39,1332,0.0154839335,0.20690918,2.2480104,-0.02297484,0.11824591,0.5490100681781769,78,19968,930.5094527809997,1277952
127.98,2.08,133.34,2.3,1372,0.017074788,0.21769206,2.2339432,-0.024577849,0.098591395,0.6366551220417023,79,20224,942.44595957,1294336
136.94,2.7,127.5,2.89,1366,0.014749338,0.19816081,2.2470636,-0.01983629,0.122292906,0.6359278559684753,80,20480,954.4373254479997,1310720
132.37,3.16,132.92,2.93,1372,0.015140173,0.19348145,2.2296107,-0.020249637,0.13962226,0.5878181159496307,81,20736,966.3779330759999,1327104
137.83,2.19,140.99,3.21,1358,0.017717903,0.21944173,2.2323215,-0.02479137,0.1300204,0.5572163164615631,82,20992,978.4366243049999,1343488
167.03,3.6,142.99,4.73,1385,0.015709005,0.20135498,2.1925216,-0.015870713,0.18251997,0.5990808308124542,83,21248,990.268357684,1359872
155.86,2.92,160.7,4.37,1390,0.012646791,0.16296387,2.2022705,-0.015003749,0.15263121,0.5930500626564026,84,21504,1002.0495016730001,1376256
157.27,3.17,167.03,4.55,1381,0.012625611,0.16542561,2.1966083,-0.016785724,0.16008694,0.5992878973484039,85,21760,1013.9142699040003,1392640
156.27,3.45,157.41,3.97,1398,0.012038614,0.15911865,2.196328,-0.0165518,0.19262259,0.582956463098526,86,22016,1025.6300949999995,1409024
167.94,4.75,154.48,3.54,1403,0.014425651,0.18819173,2.177501,-0.01294252,0.25072375,0.6242018938064575,87,22272,1037.3094905119997,1425408
170.39,4.43,190.08,4.53,1385,0.012894767,0.16925049,2.1892717,-0.018450081,0.20819093,0.6524012088775635,88,22528,1049.1346234080002,1441792
185.72,5.0,202.36,7.1,1391,0.013234873,0.17523193,2.1475258,-0.012575585,0.21527652,0.7049176096916199,89,22784,1060.9107859429996,1458176
209.88,6.86,178.74,5.24,1393,0.014653586,0.19036865,2.1259997,-0.017224414,0.23324762,0.7410866916179657,90,23040,1072.6719989189996,1474560
193.03,5.05,197.76,5.83,1388,0.015835406,0.20489502,2.1063888,-0.019382956,0.17717367,0.7430436909198761,91,23296,1084.4703857409995,1490944
205.75,6.5,192.41,6.43,1392,0.016262999,0.20607503,2.109632,-0.0173318,0.22702856,0.7294381260871887,92,23552,1096.238929002,1507328
204.43,6.46,192.62,5.28,1382,0.014535767,0.18558757,2.1345918,-0.013884955,0.24896091,0.7858586609363556,93,23808,1108.089836774,1523712
172.86,5.15,171.44,3.99,1376,0.014471266,0.18444824,2.15861,-0.022061327,0.16458641,0.7956322133541107,94,24064,1119.9971466910001,1540096
211.81,6.99,171.79,4.73,1414,0.015514928,0.19134521,2.1095788,-0.018299611,0.200675,0.7863314300775528,95,24320,1131.579807131,1556480
212.45,7.69,196.34,6.55,1393,0.015982693,0.20463054,2.0983074,-0.014887671,0.24212004,0.7997454106807709,96,24576,1143.3358571979998,1572864
200.68,6.37,197.03,6.44,1382,0.016148645,0.20214844,2.105275,-0.015527678,0.23154227,0.7723611891269684,97,24832,1155.1924320070002,1589248
204.09,7.07,197.04,6.6,1407,0.014774651,0.19252522,2.106239,-0.013919584,0.25216565,0.8182508647441864,98,25088,1166.834519911,1605632
223.03,8.27,216.17,7.64,1413,0.011970383,0.15266927,2.0998228,-0.017777788,0.286751,0.8252646028995514,99,25344,1178.4294831139996,1622016
218.5,7.49,230.06,7.93,1396,0.016926488,0.20812988,2.0634809,-0.0218399,0.26852575,0.8253358751535416,100,25600,1190.1675458629998,1638400
