eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
87.51,-2.36,79.33,-2.33,973,0.0007503046,0.0,2.70726,-0.00096978626,0.36868134,0.01835578680038452,1,256,16.83169937099956,16384
85.11,-2.39,82.77,-2.47,1283,0.0018847673,0.014221191,2.699939,-0.0013623728,0.17842801,0.041270554065704346,2,512,29.67145797199919,32768
80.91,-2.46,81.08,-3.01,1285,0.0010838133,6.1035156e-05,2.6996164,-0.00017288439,0.14107747,0.12365710735321045,3,768,42.41338462799831,49152
83.23,-1.8,82.81,-2.6,1276,0.00080483925,0.00014241536,2.690726,-0.0006308295,0.113102384,0.21524697542190552,4,1024,55.24937756899817,65536
80.55,-1.95,78.87,-1.98,1264,0.001436179,0.0013834635,2.6770775,-0.0010180845,0.15738782,0.29228365421295166,5,1280,68.20658105099938,81920
85.18,-1.87,90.6,-2.35,1270,0.0047389627,0.03120931,2.648261,-0.0034244135,0.13538896,0.3758201599121094,6,1536,81.1011014579999,98304
87.28,-2.31,80.58,-1.75,1262,0.0015352322,0.0020751953,2.6755161,-0.0017378103,0.13767895,0.38592439889907837,7,1792,94.07587180599876,114688
84.39,-1.9,80.38,-2.33,1254,0.0017691273,0.0063069663,2.6648834,-0.0020473094,0.119363226,0.38586950302124023,8,2048,107.13888579599734,131072
78.49,-2.46,84.3,-2.71,1252,0.0023054432,0.012776692,2.6605058,-0.0036729155,0.114177726,0.42416954040527344,9,2304,120.22134102999917,147456
76.61,-2.3,80.3,-2.57,1213,0.002796097,0.018025717,2.6565878,-0.0037355006,0.11341343,0.45363128185272217,10,2560,133.72928331599906,163840
73.86,-1.38,76.54,-1.98,1231,0.00388339,0.024271647,2.6381164,-0.004679959,0.097654074,0.5250150263309479,11,2816,147.03503775999707,180224
80.3,-1.16,74.26,-1.61,1227,0.004294651,0.04103597,2.6279905,-0.0059700585,0.09576067,0.5346236228942871,12,3072,160.38133708199894,196608
82.38,-2.08,78.52,-1.85,1227,0.004177728,0.043619793,2.6340287,-0.006034227,0.09890958,0.5338537991046906,13,3328,173.72541668099802,212992
79.1,-1.35,79.44,-1.92,1234,0.0046128933,0.04026286,2.6202009,-0.0066720736,0.09694669,0.5377583503723145,14,3584,187.00026032999813,229376
80.87,-1.07,76.81,-1.24,1228,0.0059153177,0.06524658,2.6093757,-0.010774352,0.080527134,0.5287304818630219,15,3840,200.33554369799822,245760
78.0,-1.63,81.52,-1.84,1219,0.004697926,0.044881184,2.6120393,-0.00837707,0.079931825,0.5320644974708557,16,4096,213.76886603499952,262144
81.04,-1.36,77.44,-1.94,1226,0.0052142995,0.051127117,2.6130712,-0.009456636,0.07725995,0.5533333718776703,17,4352,227.13019791899933,278528
78.9,-1.23,76.68,-1.17,1226,0.0040872106,0.037618,2.608444,-0.0080786245,0.098748855,0.4715871810913086,18,4608,240.48639939999703,294912
73.01,-0.82,78.64,-1.24,1226,0.0053460863,0.059488934,2.5981042,-0.01065587,0.07991352,0.5376516282558441,19,4864,253.85101160200065,311296
75.36,-0.51,77.85,-1.44,1237,0.0060448307,0.07055664,2.5756245,-0.0111607425,0.076076165,0.5899447202682495,20,5120,267.0913681799975,327680
77.07,-1.0,77.82,-0.89,1229,0.006097971,0.07346598,2.5621436,-0.013127989,0.07136267,0.525332123041153,21,5376,280.424009549999,344064
77.61,-0.4,74.94,-1.11,1223,0.005946836,0.06980387,2.5637455,-0.0115652345,0.06370087,0.5274387001991272,22,5632,293.81977815499704,360448
77.7,-0.89,77.69,-0.89,1222,0.008192721,0.10904948,2.5475738,-0.011043891,0.06713351,0.5790343880653381,23,5888,307.228886072,376832
76.9,-1.0,73.71,-1.33,1222,0.0066932687,0.08414713,2.5573416,-0.012384449,0.075498976,0.48833972215652466,24,6144,320.62931333400047,393216
77.57,-0.67,73.92,-1.02,1224,0.006209078,0.07438151,2.5570147,-0.01327302,0.060716,0.5446982383728027,25,6400,334.01427047299876,409600
77.43,-0.28,76.44,-0.43,1224,0.008018007,0.10524496,2.5312338,-0.01230669,0.06086604,0.5029975175857544,26,6656,347.4010463889972,425984
79.16,-0.75,75.07,-0.54,1230,0.0065470655,0.07863363,2.5435221,-0.012754888,0.065905966,0.5504439771175385,27,6912,360.7125103059989,442368
80.15,-0.15,77.16,-0.64,1224,0.007852479,0.10121664,2.5363023,-0.0144858835,0.063285656,0.5749985575675964,28,7168,374.0936495129972,458752
76.75,-0.33,74.16,-0.62,1227,0.008579719,0.11480713,2.5238054,-0.014214501,0.056641355,0.5372682511806488,29,7424,387.4420826619971,475136
75.63,-0.36,75.52,-0.38,1231,0.007816368,0.0997111,2.5199654,-0.017347237,0.06345216,0.5761042237281799,30,7680,400.75289128999793,491520
79.54,-0.11,78.07,-0.55,1231,0.00975617,0.1350301,2.5047781,-0.016268292,0.051940504,0.557523250579834,31,7936,414.05847513700064,507904
79.37,-0.31,79.96,-0.48,1238,0.008013271,0.1044515,2.5172756,-0.014260392,0.06723388,0.5400506854057312,32,8192,427.2907253919984,524288
83.33,0.08,76.42,-0.45,1238,0.008459565,0.110432945,2.5099235,-0.016718889,0.056564048,0.5643820762634277,33,8448,440.5256892319994,540672
80.82,-0.28,76.92,-0.21,1233,0.010020007,0.13498943,2.494644,-0.018055677,0.068379804,0.5592581629753113,34,8704,453.80764342199836,557056
82.52,0.38,77.48,-0.49,1233,0.009388781,0.12263998,2.5043104,-0.016961081,0.054885443,0.5028246343135834,35,8960,467.0938629209995,573440
73.77,-0.25,77.08,-0.66,1228,0.01039343,0.1351115,2.489569,-0.014098689,0.0698269,0.5072994232177734,36,9216,480.43237834200045,589824
78.74,-0.37,76.03,-0.31,1240,0.009179496,0.12032064,2.4973972,-0.018028138,0.07594191,0.4657860994338989,37,9472,493.6425157140002,606208
83.48,-0.25,73.28,-0.34,1224,0.0088034,0.11537679,2.5185134,-0.017850785,0.064738564,0.49691349267959595,38,9728,507.0238230699979,622592
82.65,0.16,79.1,-0.62,1236,0.010020799,0.13090007,2.5132122,-0.018293167,0.054351736,0.4632154107093811,39,9984,520.2790299099979,638976
81.69,0.35,79.02,-0.34,1227,0.011006839,0.15138753,2.5066044,-0.017764132,0.07169485,0.3817766308784485,40,10240,533.627303145,655360
83.13,-0.26,71.88,-0.47,1233,0.010497854,0.13067627,2.4771354,-0.019911347,0.08150716,0.47019338607788086,41,10496,546.9084886989986,671744
78.64,0.2,81.56,-0.26,1223,0.01066165,0.14241536,2.495527,-0.019003453,0.040566552,0.5733526349067688,42,10752,560.2982371479993,688128
78.0,-0.43,77.88,-0.37,1230,0.010065845,0.13195801,2.503329,-0.0157546,0.07418623,0.43893885612487793,43,11008,573.611352631,704512
79.78,-0.13,78.1,-0.64,1229,0.011423652,0.14764404,2.4528434,-0.016941248,0.055246487,0.5266390740871429,44,11264,586.9399658599978,720896
82.57,0.19,76.58,-0.59,1213,0.009557721,0.12615967,2.4889555,-0.017208051,0.054665197,0.5033577680587769,45,11520,600.4386081819976,737280
76.88,0.3,74.33,-0.16,1226,0.0121857235,0.16015625,2.4745724,-0.020740341,0.05732432,0.5318253338336945,46,11776,613.8029082139983,753664
75.79,0.19,79.53,-0.07,1239,0.010997269,0.14916992,2.4457953,-0.018723631,0.059310168,0.6379812061786652,47,12032,627.026130156999,770048
83.74,0.41,78.56,-0.39,1225,0.010034078,0.13307698,2.4895792,-0.020170746,0.044220466,0.5513007044792175,48,12288,640.397421231999,786432
74.43,-0.57,78.78,-0.3,1226,0.011457187,0.1519572,2.4707828,-0.020791886,0.072879516,0.4958845376968384,49,12544,653.7528073279973,802816
79.48,0.14,81.58,-0.24,1243,0.010271258,0.13686116,2.487146,-0.020689068,0.05497159,0.4866321086883545,50,12800,666.9278901289981,819200
81.56,0.47,82.01,-0.05,1231,0.013035431,0.1696574,2.485996,-0.018732471,0.07299228,0.5458354353904724,51,13056,680.2345139159988,835584
82.26,0.08,86.54,-0.63,1236,0.010274602,0.13787842,2.4859612,-0.01968469,0.055084024,0.5390555262565613,52,13312,693.4849098499981,851968
79.22,0.37,76.96,-0.56,1233,0.011824354,0.16518147,2.474894,-0.021750728,0.052783918,0.5559444427490234,53,13568,706.774296702999,868352
76.65,-0.24,81.27,0.25,1236,0.012216284,0.16316731,2.4243584,-0.017966622,0.07376197,0.5453858375549316,54,13824,720.0239269029989,884736
83.58,0.35,83.91,0.13,1240,0.011805449,0.15388997,2.4113612,-0.022801993,0.05708069,0.6107479333877563,55,14080,733.2321008309991,901120
83.86,0.36,84.2,-0.11,1233,0.012969196,0.16691081,2.4427598,-0.019167433,0.059015814,0.5438588559627533,56,14336,746.5178463979973,917504
77.9,0.22,81.02,-0.56,1234,0.010391746,0.13881429,2.4663985,-0.021286046,0.08370629,0.5163686573505402,57,14592,759.7940925829971,933888
84.21,0.47,88.5,-0.27,1241,0.010199185,0.13804118,2.445142,-0.020195875,0.060398992,0.5922377705574036,58,14848,772.9976749599991,950272
83.66,0.27,83.25,-0.19,1243,0.010723223,0.13698323,2.4583666,-0.022458894,0.07740814,0.5340679287910461,59,15104,786.171749961999,966656
86.36,0.17,79.15,-0.08,1226,0.0103943385,0.13448079,2.4455001,-0.019627754,0.08675655,0.4409046173095703,60,15360,799.5267521179994,983040
83.55,0.49,80.3,-0.3,1233,0.011609159,0.14819336,2.45413,-0.024200534,0.055538666,0.545772910118103,61,15616,812.8118794389993,999424
