eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
81.68,-2.25,85.6,-2.11,1143,0.0001270673,0.0,2.7079265,-0.00039485344,0.26288512,0.003130674362182617,1,256,14.32852945400009,16384
82.04,-2.63,87.47,-2.15,1607,0.00023339823,0.0,2.7072203,-0.0005902336,0.14687957,0.04555833339691162,2,512,24.584207448999223,32768
85.05,-2.36,81.81,-2.82,1606,0.0021872786,0.012247722,2.701115,-0.0021859019,0.13123733,0.14285284280776978,3,768,34.785491657999955,49152
83.17,-1.81,83.35,-2.04,1600,0.0026746355,0.009155273,2.6858242,-0.0016810455,0.11973325,0.2231144905090332,4,1024,45.02453102099935,65536
80.78,-1.92,84.5,-2.6,1588,0.0024996474,0.011861165,2.6731548,-0.0023298645,0.122259445,0.22716361284255981,5,1280,55.34075321599994,81920
85.29,-1.78,79.42,-2.34,1588,0.0036040463,0.030436197,2.6679487,-0.0037903476,0.104966074,0.3107908368110657,6,1536,65.65452956199988,98304
78.98,-1.93,81.7,-2.43,1579,0.0030400527,0.02146403,2.6600084,-0.00413695,0.10416249,0.3631677031517029,7,1792,76.03006692000054,114688
85.92,-1.84,85.23,-2.57,1568,0.002969682,0.01965332,2.6648655,-0.0046587866,0.10955765,0.3873806595802307,8,2048,86.47633335200044,131072
74.77,-1.22,83.08,-1.7,1569,0.0037004594,0.034138996,2.6535819,-0.005676881,0.096571304,0.4645128846168518,9,2304,96.91510913599996,147456
82.36,-1.11,84.08,-1.57,1567,0.004375381,0.04014079,2.6461174,-0.0066357125,0.07823464,0.5054382681846619,10,2560,107.36865321500045,163840
84.59,-1.61,84.2,-1.33,1559,0.004367043,0.044514973,2.6323614,-0.007707406,0.106224775,0.48900163173675537,11,2816,117.87316422799995,180224
