eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
87.95,-2.59,83.18,-2.89,781,0.00067403953,2.0345053e-05,2.7073686,-0.00069641654,0.45159054,0.015194296836853027,1,256,20.97284123799909,16384
79.38,-2.16,82.78,-2.74,995,0.00027093847,0.0,2.70574,-0.00028040764,0.15784639,0.04065793752670288,2,512,37.50292182300109,32768
83.81,-2.43,80.15,-1.9,1003,0.0018727983,0.009256999,2.699516,-0.0013404543,0.13079895,0.04876834154129028,3,768,53.82939713700034,49152
79.86,-2.13,88.59,-3.05,982,0.0017837989,0.0052693686,2.6927998,-0.0010016334,0.14241454,0.09659123420715332,4,1024,70.5086095250008,65536
84.55,-1.57,88.52,-3.23,992,0.0029151344,0.01340739,2.6812718,-0.0017089742,0.12823418,0.15369045734405518,5,1280,87.02462006800124,81920
83.53,-1.89,88.98,-3.05,987,0.0032611685,0.020426432,2.6902292,-0.0015266807,0.14354679,0.20690083503723145,6,1536,103.61501166200105,98304
88.81,-2.46,83.36,-2.64,960,0.0010476612,0.0044759116,2.6928043,-0.0018267379,0.14987408,0.22179126739501953,7,1792,120.6762599499998,114688
85.04,-2.56,86.12,-1.76,955,0.002024997,0.015604655,2.689707,-0.0025883482,0.1676724,0.24042445421218872,8,2048,137.82788606599934,131072
90.57,-2.56,79.26,-2.44,939,0.0018072514,0.00777181,2.6857927,-0.0025080815,0.14965074,0.3160039186477661,9,2304,155.2758426190012,147456
77.39,-1.77,86.22,-2.88,941,0.0026062343,0.019551596,2.6791325,-0.0033887073,0.1252475,0.34683263301849365,10,2560,172.67066576900106,163840
84.92,-1.85,86.44,-2.64,952,0.0021350838,0.013102214,2.6757424,-0.0033490637,0.14227833,0.3551172614097595,11,2816,189.8671993349999,180224
