eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
79.43,-1.75,83.6,-2.71,748,0.000116957235,0.0,2.7079191,-0.00024225767,0.2805887,-0.010566353797912598,1,256,21.90035211999998,16384
85.82,-2.35,81.39,-2.35,1299,4.3990105e-05,0.0,2.7076838,-0.00022333447,0.14027388,0.026946306228637695,2,512,35.47749235499998,32768
81.36,-2.23,81.56,-2.91,1314,0.00012106396,0.0,2.7072897,-0.00039169076,0.19022776,0.050024330615997314,3,768,47.94107484899996,49152
84.1,-2.22,87.17,-2.63,1300,0.0012402969,0.0095825195,2.7041008,-0.0013536192,0.14899263,0.05131840705871582,4,1024,60.53662072999998,65536
82.32,-1.64,86.3,-2.2,1305,0.002052784,0.007548014,2.6944363,-0.0016125379,0.13535507,0.09146195650100708,5,1280,73.08565201700003,81920
84.04,-1.98,75.09,-2.3,1318,0.0013741478,0.0029907227,2.6833496,-0.0013002959,0.14891522,0.12682008743286133,6,1536,85.51194591199999,98304
84.17,-2.45,79.98,-2.46,1299,0.0012705625,0.0037231445,2.6801224,-0.0016687209,0.14592156,0.21542483568191528,7,1792,98.11941778899995,114688
81.47,-2.03,81.05,-2.55,1302,0.0037382834,0.02960205,2.6620033,-0.0047716224,0.118299276,0.2719314694404602,8,2048,110.69719049000003,131072
84.01,-2.23,82.91,-2.46,1283,0.0021723371,0.009867351,2.6598432,-0.0028499777,0.12794723,0.30653929710388184,9,2304,123.46760346199994,147456
74.62,-1.39,88.33,-1.91,1290,0.003130055,0.02537028,2.6441424,-0.0041727875,0.11905693,0.37941181659698486,10,2560,136.16525431899993,163840
82.82,-1.27,83.11,-2.48,1284,0.0029253522,0.020304361,2.6638417,-0.004329902,0.10120278,0.38062673807144165,11,2816,148.92482168599997,180224
