eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
78.85,-2.440000057220459,4401.0,0.0007455569575540721,0.0,2.7072722911834717,-0.0010090932482853532,0.235299214720726,-0.06933474540710449,1.0,256.0,3.722388027999955,16384.0
85.06,-2.5,8112.0,9.461704030400142e-05,0.0,2.706472635269165,-0.0003070964594371617,0.17230671644210815,-0.025594711303710938,2.0,512.0,5.78450555400002,32768.0
81.79,-2.640000104904175,8266.0,0.00011319894110783935,0.0,2.7064993381500244,-0.0003161874774377793,0.15178029239177704,-0.0069887638092041016,3.0,768.0,7.7673333829999365,49152.0
77.79,-2.309999942779541,8237.0,0.00012149667600169778,0.0,2.706112861633301,-0.00040866670315153897,0.153544083237648,0.004784047603607178,4.0,1024.0,9.757073765999962,65536.0
89.32,-2.0299999713897705,8267.0,0.0003681906091514975,0.0,2.704986572265625,-0.0007671245839446783,0.14677439630031586,0.013217151165008545,5.0,1280.0,11.739631413999973,81920.0
85.1,-2.7300000190734863,8226.0,0.0006000415305607021,0.0,2.701122999191284,-0.0006165257073007524,0.15820373594760895,0.0327376127243042,6.0,1536.0,13.732748725999954,98304.0
80.54,-2.0199999809265137,7987.0,0.0007322172750718892,0.0,2.6957218647003174,-0.0008846654673106968,0.1639726459980011,0.06013447046279907,7.0,1792.0,15.78482145099997,114688.0
87.18,-2.140000104904175,8285.0,0.0014697563601657748,0.0050862631760537624,2.6841890811920166,-0.0007679879781790078,0.14107158780097961,0.060582876205444336,8.0,2048.0,17.763149065999983,131072.0
81.5,-2.450000047683716,8362.0,0.0012882858281955123,0.0020955402869731188,2.6763811111450195,-0.0010172533802688122,0.16846530139446259,0.06784564256668091,9.0,2304.0,19.723144221999974,147456.0
84.74,-2.5399999618530273,8487.0,0.0028699729591608047,0.012247721664607525,2.682957649230957,-0.0017233846010640264,0.16676215827465057,0.07902741432189941,10.0,2560.0,21.654394898999954,163840.0
86.28,-2.4000000953674316,8398.0,0.0005207614158280194,0.0,2.690157890319824,-0.0009135247673839331,0.15659748017787933,0.0873180627822876,11.0,2816.0,23.605972063999957,180224.0
84.59,-2.5299999713897705,8087.0,0.002375795505940914,0.0028483073692768812,2.6802797317504883,-0.0018673200393095613,0.1748303920030594,0.11067521572113037,12.0,3072.0,25.632662557000003,196608.0
79.65,-1.909999966621399,8286.0,0.001766270026564598,0.0039265952073037624,2.658841371536255,-0.0013625351712107658,0.15327055752277374,0.15127360820770264,13.0,3328.0,27.61080644599997,212992.0
82.03,-1.8799999952316284,8210.0,0.003206927329301834,0.01851399801671505,2.637342929840088,-0.0020992981735616922,0.15970313549041748,0.1656143069267273,14.0,3584.0,29.607004856000003,229376.0
80.57,-1.6100000143051147,8308.0,0.002950201043859124,0.012125651352107525,2.61114239692688,-0.0020175829995423555,0.13327451050281525,0.21239429712295532,15.0,3840.0,31.579786678999994,245760.0
77.81,-1.6200000047683716,8145.0,0.0027231161948293447,0.01588948629796505,2.6141912937164307,-0.001815364114008844,0.12070093303918839,0.2744743824005127,16.0,4096.0,33.59204088000001,262144.0
77.83,-1.4299999475479126,8148.0,0.003603936405852437,0.02205403707921505,2.5817885398864746,-0.0027155696880072355,0.1055055633187294,0.26854270696640015,17.0,4352.0,35.60349746099996,278528.0
79.6,-0.9800000190734863,8112.0,0.0011872997274622321,0.0024007160682231188,2.5835483074188232,-0.0006378954276442528,0.09264584630727768,0.26280802488327026,18.0,4608.0,37.623892860999945,294912.0
76.63,-1.090000033378601,8370.0,0.001709185540676117,0.0070393881760537624,2.5821893215179443,-0.001076101209037006,0.09342623502016068,0.20883578062057495,19.0,4864.0,39.582050680000066,311296.0
75.09,-1.899999976158142,8300.0,0.0027311809826642275,0.013671875,2.5511786937713623,-0.0012785186991095543,0.12514403462409973,0.15296190977096558,20.0,5120.0,41.55675050800005,327680.0
